Entrada;Ex1;Ex2;Ex3;Ex4;Ex5;Ex6;Ex7;Ex8;Ex9;Ex10;Ex11;Ex12;Ex13;Ex14;Ex15;Ex16;Ex17;Ex18;Ex19;Ex20
rigged_matrix80.txt;45;44;44;44;44;44;44;44;44;43;51;44;44;46;44;43;50;51;44;44
rigged_matrix81.txt;39;42;40;39;40;42;39;39;39;41;39;39;40;39;38;41;39;39;40;39
rigged_matrix82.txt;41;40;42;41;40;41;42;40;40;40;39;41;39;40;55;39;40;39;40;42
rigged_matrix83.txt;40;40;41;41;43;42;41;40;41;40;42;40;41;41;41;40;40;40;41;40
rigged_matrix84.txt;42;41;40;41;41;45;43;43;41;43;41;41;57;41;41;44;41;41;42;42
rigged_matrix85.txt;43;42;42;41;43;42;42;43;42;42;42;42;41;42;44;42;42;42;43;45
rigged_matrix86.txt;44;43;44;44;49;46;42;43;44;44;44;44;43;44;44;43;44;43;43;44
rigged_matrix87.txt;45;45;45;47;45;44;45;45;45;44;44;44;44;45;46;45;44;45;47;46
rigged_matrix88.txt;48;46;46;46;47;46;44;45;45;45;45;45;46;46;46;47;46;45;46;46
rigged_matrix89.txt;47;50;46;48;46;47;46;47;47;46;47;48;47;46;47;48;47;47;47;50
rigged_matrix90.txt;51;50;49;48;48;49;49;48;50;48;48;49;49;49;48;49;50;50;49;48
rigged_matrix91.txt;51;51;51;49;48;49;49;50;50;53;50;49;49;49;49;51;49;49;51;50
rigged_matrix92.txt;51;50;51;52;50;51;50;51;51;54;51;51;51;50;50;54;52;53;52;50
rigged_matrix93.txt;51;52;67;55;60;51;51;52;54;52;68;52;51;51;51;52;53;54;51;52
rigged_matrix94.txt;53;53;53;53;53;55;62;53;64;52;53;53;52;54;52;52;55;53;55;53
rigged_matrix95.txt;53;58;54;55;53;54;53;53;54;52;52;53;54;53;53;53;53;54;53;55
rigged_matrix96.txt;55;55;55;57;55;55;56;55;55;56;55;54;55;54;54;58;54;55;71;55
rigged_matrix97.txt;57;60;56;57;56;60;56;56;57;58;59;60;57;57;59;57;56;55;56;56
rigged_matrix98.txt;58;58;60;64;57;59;57;57;58;57;58;59;59;58;58;59;57;58;57;57
rigged_matrix99.txt;59;59;59;59;60;60;59;59;59;62;62;60;58;60;58;59;59;60;60;60
rigged_matrix100.txt;62;62;61;62;61;61;62;62;62;62;62;61;61;59;62;61;60;61;62;64
